,Dates,Gold,General,Food & Beverages,Housing,Fuel & Light,Transport & Communication,Miscellaneous
115,2016-02-01,92.56714981132161,120.45889101338432,123.01136363636364,124.02791625124627,116.6824644549763,107.94573643410853,114.62945139557266
116,2016-01-01,85.18131767855968,120.74569789674952,124.33712121212123,123.0309072781655,116.30331753554503,107.65503875968992,114.05197305101058
117,2015-12-01,82.59247403112498,120.55449330783938,124.43181818181819,122.03389830508475,115.63981042654028,108.04263565891472,113.8594802694899
118,2015-11-01,84.03745192936218,121.03250478011472,125.66287878787878,122.53240279162515,115.260663507109,108.04263565891472,113.6669874879692
119,2015-10-01,87.07871739985892,120.55449330783938,125.09469696969697,122.03389830508475,114.50236966824644,107.94573643410853,113.4744947064485
120,2015-09-01,85.99497578488207,119.88527724665391,124.24242424242425,121.23629112662013,114.12322274881517,107.84883720930232,113.08950914340711
121,2015-08-01,84.3000649733832,119.31166347992352,123.39015151515153,120.53838484546363,114.31279620853081,108.23643410852712,112.80076997112607
122,2015-07-01,83.68027853037613,118.1644359464627,121.40151515151514,119.54137587238287,113.83886255924169,109.20542635658914,112.80076997112607
123,2015-06-01,87.30600956285004,117.59082217973231,120.54924242424244,118.64406779661016,113.55450236966824,109.39922480620154,112.60827718960537
124,2015-05-01,88.7708759349139,116.25239005736138,118.37121212121214,119.24227318045861,112.98578199052133,108.52713178294573,111.74205967276225
125,2015-04-01,87.42609400531255,115.39196940726579,117.42424242424244,118.84346959122634,112.51184834123222,106.6860465116279,110.77959576515879
126,2015-03-01,85.73940725794958,114.91395793499044,116.85606060606062,118.24526420737786,112.13270142180095,106.49224806201552,110.39461020211743
127,2015-02-01,88.71334025115833,114.43594646271511,116.5719696969697,117.74675972083747,111.56398104265404,105.3294573643411,109.81713185755532
128,2015-01-01,89.78735060299428,114.24474187380498,116.5719696969697,116.94915254237289,110.42654028436019,106.00775193798451,109.720885466795
129,2014-12-01,87.41187391035247,114.1491395793499,117.04545454545455,116.15154536390828,109.66824644549764,106.6860465116279,109.5283926852743
130,2014-11-01,85.56630872874645,114.81835564053537,118.46590909090908,116.74975074775674,109.478672985782,107.3643410852713,109.5283926852743
131,2014-10-01,88.43565521708744,114.81835564053537,118.75000000000003,116.35094715852443,108.72037914691943,108.33333333333333,109.62463907603465
132,2014-09-01,88.34348672141293,114.81835564053537,119.12878787878789,115.75274177467595,108.34123222748815,108.52713178294573,109.43214629451394
133,2014-08-01,92.00326079228209,115.00956022944551,119.88636363636364,115.15453639082752,108.0568720379147,109.30232558139534,109.43214629451394
134,2014-07-01,91.76741691319747,113.95793499043978,118.08712121212122,114.456630109671,107.96208530805688,109.59302325581395,109.04716073147256
135,2014-06-01,89.86641302036456,111.5678776290631,114.01515151515153,113.55932203389831,107.29857819905213,108.33333333333333,108.0846968238691
136,2014-05-01,94.16061957674576,110.70745697896749,112.59469696969697,113.95812562313061,106.63507109004739,107.84883720930232,107.60346487006736
137,2014-04-01,96.09674775943401,110.03824091778202,111.36363636363636,113.55932203389831,106.63507109004739,107.75193798449611,107.31472569778633
138,2014-03-01,97.74473881060374,109.17782026768643,109.94318181818181,112.86141575274178,106.63507109004739,107.94573643410853,107.12223291626563
139,2014-02-01,98.9858844260144,108.60420650095601,109.18560606060606,112.16350947158524,106.54028436018959,107.65503875968992,106.73724735322425
140,2014-01-01,96.92551062100203,108.60420650095601,109.65909090909092,111.26620139581256,106.35071090047394,107.26744186046511,106.44850818094321
141,2013-12-01,97.98169670634424,109.46462715105163,112.12121212121214,110.3688933200399,106.06635071090047,106.3953488372093,105.87102983638113
142,2013-11-01,100.71890116018281,111.18546845124284,116.09848484848484,110.76769690927217,105.78199052132702,106.10465116279069,105.5822906641001
143,2013-10-01,100.62070386848838,109.75143403441683,113.82575757575759,110.16949152542372,105.11848341232228,106.10465116279069,105.10105871029836
144,2013-09-01,99.84551210198889,108.6998087954111,112.02651515151516,109.37188434695912,104.739336492891,106.49224806201552,104.90856592877766
145,2013-08-01,99.00429846603184,107.45697896749522,110.41666666666667,108.57427716849453,103.98104265402843,104.65116279069765,103.84985563041387
146,2013-07-01,88.23061062201776,106.1185468451243,108.61742424242425,107.3778664007976,103.50710900473933,103.77906976744184,102.88739172281038
147,2013-06-01,89.04967498564066,104.49330783938815,106.25,106.28115653040877,102.65402843601896,101.84108527131781,101.82868142444657
148,2013-05-01,87.70800574963657,102.19885277246654,103.40909090909092,100.19940179461615,101.80094786729859,100.7751937984496,100.86621751684311
149,2013-04-01,90.89917199073794,101.43403441682601,101.98863636363637,100.19940179461615,100.9478672985782,101.45348837209302,100.86621751684311
150,2013-03-01,96.70237963787251,100.86042065009562,101.23106060606062,100.09970089730808,100.5687203791469,101.84108527131781,100.76997112608277
151,2013-02-01,98.17592878681293,100.66921606118547,100.9469696969697,100.09970089730808,100.4739336492891,100.96899224806202,100.48123195380174
152,2013-01-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0
