Unnamed: 0,Dates,Gold Price,CI,Inflation Rate
23,2023-10-01,58773.0,92.57088504363833,0.029639966189377528
22,2023-11-01,60786.12,99.16691213259159,2.0192490265703515
21,2023-12-01,62173.0,103.71105160223446,1.3911024131546457
20,2024-01-01,62322.43,104.20066192248476,0.1498849457759139
19,2024-02-01,62017.33,103.20099579982957,-0.3060288894882623
18,2024-03-01,65229.0,113.72409542666675,3.221448061300464
17,2024-04-01,71353.0,133.789501310444,6.142644769669378
16,2024-05-01,72134.95,136.3515757929423,0.7843306789096915
15,2024-06-01,72014.0,135.95528075021812,-0.12131823724550839
14,2024-07-01,71188.55,133.25067766616132,-0.8279631164473497
13,2024-08-01,70440.71,130.80036526640237,-0.7501168296129206
12,2024-09-01,72877.62,138.78494858649307,2.444329272641237
11,2024-10-01,76713.09,151.35194112487503,3.847147246035894
10,2024-11-01,76220.94,149.73940201551827,-0.4936483709001875
9,2024-12-01,76195.05,149.65457292369413,-0.025968823168964175
8,2025-01-01,79079.0,159.10389155506567,2.8927303042926162
7,2025-02-01,84995.47,178.4893213312237,5.934482936055812
6,2025-03-01,86890.11,184.69714638080563,1.900408309341343
5,2025-04-01,93091.21,205.015171923897,6.219979503787853
4,2025-05-01,94589.81,209.92536416057698,1.5031625492858387
3,2025-06-01,97175.81,218.39844378426216,2.593873183273189
2,2025-07-01,97581.22,219.7267775855917,0.4066442874055656
1,2025-08-01,99696.47,226.65743561884773,2.1216899655524415
0,2025-09-01,109590.91,259.07676197297593,9.924564029197827
